Merchant_id,cluster_label
a1_80,2
a1_81,2
a1_82,2
a1_84,2
a1_85,2
a1_86,2
a1_87,2
a1_88,2
a1_89,2
a1_90,2
a1_91,2
a1_92,2
a1_93,2
a1_94,2
a1_95,2
a1_96,2
a1_97,2
a1_98,2
a1_99,2
a1_100,2
a1_102,2
a1_104,2
a1_105,2
a1_106,2
a1_107,2
a1_108,2
a1_109,2
a1_110,2
a1_111,2
a1_112,2
a1_113,2
a1_114,2
a1_115,2
a1_116,2
a1_117,2
a1_118,2
a1_121,2
a1_122,2
a1_123,2
a1_125,2
a1_126,2
a1_127,2
a1_128,2
a1_129,2
a1_130,2
a1_131,2
a1_132,2
a1_133,2
a1_134,2
a1_135,2
a1_136,2
a1_137,2
a1_138,2
a1_139,2
a1_140,2
a1_141,2
a1_142,2
a1_143,2
a1_144,2
a1_145,2
a1_146,2
a1_147,2
a1_148,2
a1_149,2
a1_150,2
a1_151,2
a1_152,2
a1_153,2
a1_154,2
a1_155,2
a1_156,2
a1_157,2
a1_158,2
a1_159,2
a1_160,2
a1_161,2
a1_162,2
a1_163,2
a1_164,2
a1_165,2
a1_166,2
a1_167,2
a1_168,2
a1_169,2
a1_170,2
a1_171,2
a1_172,2
a1_174,2
a1_175,2
a1_176,2
a1_177,2
a1_178,2
a1_179,2
a1_180,2
a1_181,2
a1_182,2
a1_183,2
a1_184,2
a1_185,2
a1_186,2
a1_187,2
a1_188,2
a1_190,2
a1_191,2
a1_192,2
a1_193,2
a1_194,2
a1_195,2
a1_196,2
a1_197,2
a1_198,2
a1_199,2
a2_45,2
a2_56,2
a2_62,2
a2_96,2
a3_36,2
a3_42,2
a3_50,2
a3_55,2
a3_86,2
a3_93,2
a3_117,2
a3_147,2
a3_157,2
a3_180,2
a3_194,2
